cluster_62,_20538_,1.4,1.14
cluster_63,_20925_,1.4,0.95
cluster_64,_20926_,1.4,0.95
cluster_65,_20927_,1.4,0.76
cluster_66,_20928_,1.4,0.57
cluster_67,_20929_,1.4,0.57
cluster_68,_20930_,1.4,0.76
cluster_69,_20931_,1.4,1.14
cluster_70,_20932_,1.4,0.76
cluster_71,_20933_,1.4,1.14
cluster_72,_20934_,1.4,0.76
cluster_73,_20935_,1.4,2.47
cluster_74,_20936_,1.4,0.76
cluster_75,_20937_,1.4,0.76
cluster_76,_20938_,1.4,0.76
cluster_77,_20939_,1.4,0.57
cluster_78,_20940_,1.4,1.14
cluster_79,_20941_,1.4,0.57
cluster_80,_20942_,1.4,0.76
cluster_81,_20943_,1.4,0.57
cluster_82,_20944_,1.4,0.76
cluster_83,_20945_,1.4,1.14
cluster_84,_20924_,1.4,0.76
cluster_85,_20923_,1.4,1.33
cluster_86,_20922_,1.4,0.95
cluster_87,_20921_,1.4,0.76
cluster_88,_20900_,1.4,1.14
cluster_89,_20901_,1.4,0.38
cluster_90,_20902_,1.4,0.76
cluster_91,_20903_,1.4,1.33
cluster_92,_20904_,1.4,0.57
cluster_93,_20905_,1.4,1.14
cluster_94,_20906_,1.4,0.76
cluster_95,_15855_,1.4,1.33
cluster_96,_20907_,1.4,0.76
cluster_97,_20908_,1.4,0.76
cluster_98,_20946_,1.4,0.57
cluster_99,_20909_,1.4,0.95
cluster_100,_20911_,1.4,0.57
cluster_101,_20912_,1.4,0.57
cluster_102,_20913_,1.4,0.76
cluster_103,_20914_,1.4,1.33
cluster_104,_20915_,1.4,0.57
cluster_105,_20916_,1.4,0.57
cluster_106,_20917_,1.4,0.95
cluster_107,_20918_,1.4,1.14
cluster_108,_20919_,1.4,0.76
cluster_109,_20920_,1.4,0.95
cluster_110,_20910_,1.4,0.95
cluster_111,_20899_,1.4,1.33
cluster_112,_20947_,1.4,0.57
cluster_113,_20949_,1.4,0.76
cluster_114,text_out[31]$_DFF_P_,1.4,3.23
cluster_115,text_out[30]$_DFF_P_,1.4,3.23
cluster_116,_20976_,1.4,0.76
cluster_117,text_out[28]$_DFF_P_,1.4,3.23
cluster_118,text_out[27]$_DFF_P_,1.4,3.23
cluster_119,text_out[26]$_DFF_P_,1.4,3.23
cluster_120,text_out[25]$_DFF_P_,1.4,3.23
cluster_121,text_out[24]$_DFF_P_,1.4,3.23
cluster_122,_20977_,1.4,1.14
cluster_123,_20978_,1.4,0.95
cluster_124,_20979_,1.4,0.95
